a.0,a.1,a.2,b.0,b.1,b.2,y
0.39201,0.010348,0.753747,0.453195,0.973604,0.557538,2
0.209423,0.5434,0.614405,0.422357,0.091361,0.403065,2
0.93197,0.680962,0.350063,0.870534,0.423372,0.493429,1
0.842964,0.295934,0.360123,0.56491,0.581595,0.322761,0
0.014776,0.472281,0.836145,0.364379,0.458737,0.447312,2
0.901089,0.96277,0.384197,0.134578,0.337076,0.897037,1
0.135142,0.330359,0.138089,0.63929,0.474168,0.6784,2
0.606007,0.371718,0.493016,0.084469,0.909466,0.789138,2
0.15513,0.309668,0.140735,0.434257,0.25349,0.877229,2
0.937036,0.653117,0.308528,0.147367,0.42018,0.045677,2
0.078965,0.448691,0.228352,0.94269,0.330818,0.09887,0
0.710058,0.069173,0.372361,0.330791,0.630502,0.66756,2
0.125641,0.873295,0.936754,0.183796,0.842819,0.364356,1
0.433768,0.598121,0.875044,0.939694,0.555402,0.362471,2
0.046551,0.063343,0.875328,0.011502,0.541405,0.710933,2
0.89871,0.081283,0.88584,0.133786,0.377296,0.975212,0
0.479229,0.139497,0.938749,0.671661,0.812606,0.680002,0
0.59692,0.14217,0.757724,0.648983,0.441739,0.672807,2
0.592451,0.518864,0.78484,0.737128,0.860748,0.513361,1
0.68092,0.682703,0.945115,0.346955,0.107267,0.90318,2
0.098578,0.784373,0.725555,0.541026,0.71299,0.527694,2
0.552957,0.383876,0.63333,0.931326,0.273785,0.071235,0
0.411206,0.193985,0.302082,0.502558,0.2366,0.618497,2
0.977222,0.495857,0.049814,0.650793,0.72108,0.935964,0
0.870931,0.776459,0.667851,0.702052,0.939744,0.459304,1
0.488356,0.562535,0.269747,0.077403,0.137339,0.129295,1
0.893728,0.046427,0.173511,0.369758,0.208894,0.778177,0
0.348237,0.774808,0.743414,0.776783,0.035931,0.550593,2
0.488397,0.237421,0.745037,0.617012,0.961464,0.14787,0
0.356135,0.927443,0.571715,0.062781,0.054418,0.364391,1
0.295889,0.390638,0.55847,0.230233,0.796543,0.842947,1
0.116724,0.59486,0.262191,0.474677,0.303537,0.478072,0
0.109924,0.94059,0.680816,0.307212,0.734156,0.595625,2
0.152821,0.529561,0.137368,0.065681,0.519902,0.434504,1
0.715137,0.128544,0.468419,0.512656,0.529828,0.341357,2
0.213931,0.146978,0.818003,0.174111,0.742855,0.92084,2
0.119095,0.947992,0.73945,0.17438,0.536634,0.086403,1
0.503964,0.221307,0.000426,0.54751,0.239803,0.846684,1
0.702178,0.727582,0.382921,0.188171,0.277294,0.48548,1
0.057445,0.699937,0.244078,0.366813,0.854722,0.457741,1
0.755247,0.246623,0.586009,0.62782,0.394356,0.392371,0
0.55565,0.520806,0.178698,0.682931,0.788112,0.112239,1
0.868458,0.088064,0.957093,0.641999,0.314217,0.022169,0
0.848651,0.250774,0.007598,0.96146,0.488765,0.605618,0
0.088219,0.433978,0.736694,0.874997,0.761329,0.209439,2
0.263833,0.938561,0.788703,0.546929,0.566077,0.470687,2
0.571983,0.482605,0.081924,0.136882,0.50723,0.104005,1
0.380414,0.095657,0.160996,0.969416,0.540079,0.08825,2
0.590355,0.660263,0.226641,0.204798,0.092595,0.505679,0
0.598775,0.15777,0.438931,0.316413,0.552496,0.225413,2
0.443222,0.324563,0.62155,0.842773,0.988776,0.274859,0
0.06713,0.989161,0.000971,0.443191,0.932915,0.548769,1
0.825603,0.736099,0.804354,0.95639,0.293064,0.526937,0
0.895153,0.395408,0.745456,0.455768,0.656852,0.004575,0
0.44461,0.510973,0.799531,0.761261,0.949774,0.005247,0
0.71753,0.406316,0.205656,0.09192,0.202931,0.023605,0
0.639441,0.762718,0.856167,0.391289,0.125667,0.29271,2
0.104026,0.036386,0.889082,0.891291,0.64483,0.203569,2
0.869777,0.761754,0.381138,0.409294,0.606339,0.500243,0
0.670845,0.812607,0.293234,0.518119,0.789323,0.092065,2
0.689312,0.245987,0.996189,0.307092,0.315346,0.900014,2
0.361592,0.478341,0.119928,0.903717,0.960188,0.937917,2
0.635422,0.182872,0.422174,0.152521,0.225818,0.326665,2
0.51743,0.862393,0.943928,0.160891,0.885764,0.500531,1
0.855865,0.823835,0.179719,0.315808,0.266099,0.779377,1
0.277354,0.720698,0.466406,0.088573,0.636559,0.600839,0
0.360235,0.626307,0.031643,0.26556,0.025678,0.268508,1
0.172259,0.194699,0.219687,0.34574,0.177411,0.139604,2
0.086495,0.678177,0.382899,0.815516,0.098697,0.076144,1
0.629127,0.36617,0.599753,0.427107,0.384502,0.435062,0
0.962304,0.283975,0.195896,0.714901,0.965814,0.910486,0
0.884423,0.068585,0.636406,0.235061,0.591571,0.312469,2
0.29954,0.996793,0.010163,0.774492,0.499796,0.378815,1
0.701299,0.759269,0.129669,0.750218,0.778019,0.224901,1
0.092887,0.335166,0.382483,0.833332,0.091612,0.945352,2
0.996829,0.312417,0.493892,0.110808,0.149427,0.984656,2
0.583971,0.572669,0.648021,0.414953,0.998779,0.479616,2
0.724989,0.040286,0.209421,0.293353,0.579282,0.890224,2
0.08872,0.700921,0.784233,0.680466,0.649391,0.369992,2
0.785049,0.094904,0.338901,0.844909,0.894207,0.443978,0
0.416335,0.966427,0.733276,0.434517,0.926015,0.586119,1
0.969827,0.001342,0.7298,0.652249,0.799111,0.623812,1
0.190643,0.924495,0.46172,0.207794,0.133101,0.964926,1
0.290996,0.524339,0.473848,0.131643,0.977062,0.585037,0
0.059927,0.057872,0.10254,0.204131,0.269478,0.395171,2
0.469124,0.330359,0.943548,0.144038,0.306081,0.365877,2
0.29179,0.452645,0.851929,0.732616,0.770771,0.703183,2
0.76085,0.655501,0.287723,0.365494,0.356739,0.442577,0
0.666276,0.570595,0.689264,0.756781,0.023105,0.607704,2
0.549216,0.689139,0.552726,0.833035,0.326204,0.433853,1
0.245277,0.675786,0.014564,0.151781,0.662908,0.710049,1
0.413989,0.008696,0.320504,0.961508,0.391008,0.777212,0
0.737255,0.475445,0.793662,0.594447,0.067258,0.850856,2
0.95284,0.614786,0.938435,0.861298,0.06376,0.601674,2
0.50569,0.332918,0.716831,0.463088,0.760745,0.685931,2
0.72226,0.841282,0.796766,0.790483,0.679996,0.457933,1
0.740708,0.75889,0.758039,0.231292,0.381336,0.201616,2
0.565379,0.578128,0.925299,0.597567,0.793604,0.888973,2
0.074175,0.577856,0.774906,0.066297,0.205092,0.274721,0
0.992567,0.651643,0.719106,0.400349,0.116584,0.911099,1
0.674971,0.813688,0.527003,0.253463,0.481266,0.644855,1
0.141382,0.510556,0.037785,0.533932,0.381624,0.736793,0
0.076385,0.956085,0.062496,0.013035,0.156283,0.02799,1
0.609245,0.459577,0.330709,0.715044,0.450092,0.059473,2
0.627732,0.331999,0.338912,0.67435,0.497737,0.045129,0
