a.0,a.1,a.2,b.0,b.1,b.2,y
0.859593,0.504448,0.864344,0.6214,0.354957,0.270123,2
0.817789,0.38291,0.063073,0.288283,0.882751,0.912823,1
0.966536,0.395873,0.815787,0.248315,0.24185,0.974834,2
0.625152,0.084966,0.945822,0.708224,0.750267,0.530341,2
0.82643,0.46264,0.566552,0.091778,0.939394,0.440172,1
0.410882,0.438112,0.674521,0.657728,0.372122,0.955774,2
0.546456,0.148867,0.227776,0.597081,0.969191,0.649001,1
0.264691,0.024955,0.95504,0.063022,0.582024,0.342944,1
0.897992,0.737623,0.913922,0.788879,0.451673,0.423135,0
0.407827,0.965905,0.353763,0.183028,0.800913,0.292082,1
0.341786,0.081205,0.682602,0.126389,0.524078,0.560954,2
0.44203,0.734543,0.082207,0.677998,0.371548,0.444448,1
0.419262,0.792653,0.503944,0.361734,0.554229,0.016525,1
0.120047,0.287822,0.429354,0.041473,0.854023,0.606228,1
0.889492,0.789772,0.23716,0.39875,0.076231,0.287257,2
0.85078,0.629925,0.416946,0.330387,0.030524,0.574697,2
0.086628,0.527327,0.030494,0.452063,0.831299,0.557016,1
0.63787,0.690654,0.134353,0.764741,0.226675,0.528753,0
0.240812,0.777414,0.791785,0.22429,0.019069,0.479101,2
0.098832,0.714194,0.893315,0.24796,0.821485,0.890049,2
0.286956,0.994312,0.276752,0.295123,0.921944,0.315222,1
0.426025,0.826868,0.451609,0.102876,0.612891,0.261831,1
0.66783,0.746295,0.095061,0.62496,0.380055,0.727491,2
0.441884,0.480648,0.449151,0.999181,0.618474,0.376829,0
0.52596,0.890166,0.587608,0.386531,0.757328,0.106876,1
0.5673,0.916283,0.831371,0.987463,0.339673,0.318172,0
0.831921,0.462998,0.437421,0.869417,0.919615,0.750594,1
0.826757,0.883275,0.524315,0.979842,0.379677,0.659709,2
0.463328,0.299372,0.188219,0.421706,0.037372,0.518725,2
0.71813,0.624031,0.478828,0.622571,0.373962,0.2814,0
0.119445,0.739104,0.938582,0.269453,0.576512,0.62283,2
0.77699,0.380723,0.701856,0.540497,0.186796,0.430142,0
0.419973,0.951736,0.60471,0.088195,0.654005,0.923522,2
0.182678,0.366235,0.364025,0.204825,0.460904,0.729199,2
0.02996,0.414422,0.279359,0.964533,0.648374,0.377807,0
0.301678,0.021834,0.69623,0.392842,0.401789,0.564325,2
0.376555,0.181345,0.284132,0.748643,0.548431,0.025735,1
0.904177,0.703787,0.322267,0.778565,0.074933,0.698995,0
0.867071,0.124536,0.633147,0.003898,0.440092,0.946835,2
0.831505,0.995643,0.339716,0.369374,0.839106,0.24557,1
0.863193,0.815042,0.038949,0.318913,0.202201,0.116852,0
0.516986,0.711097,0.466709,0.884984,0.791654,0.340145,1
0.551074,0.076924,0.673952,0.056077,0.762086,0.51537,2
0.799041,0.186439,0.687682,0.000557,0.283914,0.815126,2
0.848256,0.658718,0.704991,0.581016,0.519289,0.744054,2
0.422063,0.079018,0.213473,0.990056,0.072032,0.055322,0
0.198132,0.90989,0.267313,0.053951,0.605868,0.982469,2
0.886773,0.014837,0.833592,0.061969,0.83887,0.047936,2
0.369115,0.684664,0.224655,0.324686,0.156969,0.410053,0
0.175453,0.249268,0.91733,0.896026,0.026377,0.224538,0
0.797158,0.200241,0.188418,0.553077,0.55905,0.512004,2
0.110383,0.637309,0.641317,0.049625,0.88166,0.248565,1
0.766051,0.845946,0.902151,0.998284,0.529926,0.245977,0
0.406059,0.995846,0.779945,0.388023,0.475722,0.693978,2
0.13309,0.36338,0.611016,0.672312,0.314798,0.439792,0
0.304223,0.347723,0.540169,0.562322,0.163518,0.762627,0
0.693988,0.660942,0.203978,0.544237,0.609568,0.938489,0
0.131041,0.980246,0.885207,0.390357,0.782632,0.990553,2
0.923759,0.120746,0.991926,0.691365,0.85122,0.179089,0
0.393552,0.02139,0.440529,0.045444,0.629615,0.194616,1
0.197386,0.512896,0.449147,0.562973,0.129209,0.728583,0
0.183283,0.644889,0.298851,0.045667,0.645734,0.330024,1
0.540711,0.052702,0.669738,0.764677,0.27306,0.368717,0
0.205714,0.275409,0.794829,0.021978,0.948452,0.858835,2
0.438838,0.78443,0.504948,0.969035,0.124846,0.207665,0
0.304065,0.000675,0.649235,0.381382,0.347455,0.506461,2
0.134404,0.189757,0.336587,0.546665,0.42292,0.992958,2
