a.0,a.1,a.2,b.0,b.1,b.2,y
0.016656,0.680022,0.316615,0.00268,0.052708,0.963979,1
0.971568,0.54757,0.741263,0.000186,0.153482,0.810359,2
0.3166,0.223962,0.585151,0.120266,0.629201,0.914547,1
0.228239,0.392065,0.393101,0.260671,0.804611,0.131476,1
0.152192,0.779561,0.381361,0.837019,0.766652,0.008813,0
0.011753,0.177137,0.709839,0.079169,0.615531,0.393995,2
0.768682,0.655429,0.595888,0.532283,0.917099,0.162648,0
0.293088,0.808575,0.504801,0.098676,0.827551,0.422586,1
0.005204,0.311425,0.503266,0.624397,0.28186,0.246133,0
0.05983,0.872276,0.283673,0.460371,0.724266,0.709975,1
0.164335,0.756616,0.169228,0.952144,0.07209,0.82682,1
0.078263,0.689611,0.965131,0.724784,0.735087,0.124936,2
0.352856,0.260358,0.029606,0.543881,0.114766,0.064751,0
0.040963,0.796811,0.681145,0.991839,0.748847,0.598667,1
0.524004,0.17442,0.989594,0.761286,0.585186,0.405454,2
0.859981,0.588783,0.594981,0.030435,0.012296,0.225492,0
0.073641,0.382188,0.146577,0.500488,0.427308,0.227688,1
0.388315,0.95352,0.403431,0.545647,0.297912,0.175835,1
0.406128,0.018234,0.77585,0.956463,0.165941,0.056007,0
0.440626,0.333676,0.771599,0.569459,0.232339,0.429639,2
0.198757,0.612566,0.106347,0.418871,0.959005,0.024251,1
0.06286,0.36992,0.604962,0.647688,0.951057,0.165628,1
0.44282,0.959511,0.039163,0.985528,0.655997,0.283871,0
0.885809,0.331094,0.140817,0.801218,0.233143,0.544993,0
0.278322,0.898554,0.314285,0.845185,0.506216,0.614038,1
0.520419,0.571672,0.583471,0.692598,0.504345,0.746762,1
0.961377,0.163165,0.761034,0.682945,0.026741,0.429721,2
0.242168,0.953063,0.343694,0.598304,0.588988,0.082409,1
0.331257,0.072585,0.173187,0.134751,0.764261,0.393165,2
0.304196,0.269601,0.804948,0.874598,0.015516,0.915572,2
0.582635,0.804157,0.304398,0.865958,0.900021,0.290237,1
0.714866,0.61538,0.388853,0.931076,0.056587,0.350355,0
0.200391,0.656896,0.363111,0.401498,0.073484,0.843606,2
0.97906,0.931599,0.44262,0.029131,0.061533,0.906915,0
0.255678,0.949219,0.665866,0.825852,0.568791,0.077429,1
0.725419,0.437596,0.262334,0.219248,0.58096,0.600069,1
0.673896,0.721801,0.618634,0.18723,0.020766,0.196376,0
0.579629,0.759872,0.847411,0.793955,0.191236,0.180511,1
0.743262,0.882921,0.094736,0.424254,0.83699,0.024962,1
0.548959,0.061194,0.515823,0.313991,0.409953,0.664743,0
0.744725,0.621611,0.650046,0.444342,0.439734,0.597699,0
0.773243,0.322264,0.923097,0.58412,0.708279,0.437706,2
0.361718,0.422069,0.769401,0.345372,0.312936,0.729082,2
0.073403,0.823292,0.912689,0.654359,0.419358,0.799746,1
0.02901,0.74064,0.979984,0.982958,0.436617,0.50035,2
0.49145,0.882918,0.225308,0.826792,0.999171,0.144113,1
0.916192,0.202115,0.846143,0.744634,0.169787,0.864561,0
0.280598,0.482391,0.117894,0.352975,0.191937,0.186743,0
0.350532,0.385528,0.277788,0.576078,0.453948,0.286486,0
0.991211,0.649845,0.116883,0.071579,0.798482,0.058753,1
0.525672,0.886364,0.594475,0.324919,0.734977,0.303123,2
0.724197,0.480321,0.406409,0.895935,0.203244,0.46776,0
0.888229,0.892233,0.981311,0.565323,0.64653,0.85808,0
0.634081,0.323105,0.959223,0.058411,0.353351,0.125375,2
0.76964,0.987075,0.5664,0.335579,0.885416,0.677261,1
0.936399,0.465527,0.504369,0.147484,0.905564,0.973401,1
0.797035,0.609607,0.451722,0.144837,0.12887,0.07643,0
0.451735,0.949491,0.526015,0.916048,0.546395,0.555599,1
0.852446,0.644362,0.924642,0.624571,0.919749,0.282134,0
0.924958,0.633938,0.369278,0.487426,0.180302,0.14458,0
0.852589,0.809985,0.032174,0.883788,0.231837,0.361585,0
0.379799,0.788399,0.649409,0.814135,0.700847,0.873183,2
0.806492,0.559077,0.711202,0.253336,0.175716,0.552382,0
0.423422,0.275683,0.435112,0.941661,0.173356,0.089128,0
0.777763,0.862311,0.389494,0.949378,0.654081,0.867855,1
0.045699,0.675454,0.59047,0.309142,0.740184,0.474249,1
0.939644,0.302458,0.924917,0.773004,0.867819,0.868899,2
0.345485,0.723566,0.188883,0.238576,0.363119,0.814034,1
0.446139,0.30845,0.408717,0.239877,0.836538,0.228238,2
0.846248,0.443257,0.835374,0.95645,0.520534,0.771436,0
0.858557,0.230605,0.994121,0.959012,0.176104,0.476229,0
0.497427,0.905612,0.391698,0.459419,0.904764,0.604753,1
0.829637,0.346214,0.93318,0.664064,0.993786,0.041897,0
0.351245,0.685745,0.257274,0.796517,0.288478,0.118887,0
0.634788,0.079118,0.634093,0.719344,0.767235,0.921007,0
0.963599,0.989889,0.336894,0.127089,0.314029,0.628625,1
0.311981,0.564789,0.360893,0.392469,0.712387,0.433432,1
0.647547,0.307203,0.366201,0.669725,0.043557,0.874158,0
0.475957,0.360169,0.995614,0.531175,0.566976,0.892183,2
0.863718,0.434042,0.849173,0.86685,0.03796,0.282467,0
0.97845,0.803763,0.908193,0.585714,0.411402,0.12299,1
0.051592,0.845423,0.962848,0.745013,0.706681,0.794439,1
0.976602,0.731229,0.37349,0.061587,0.478376,0.754629,2
0.747216,0.986506,0.237493,0.45421,0.459058,0.946041,1
0.32891,0.038264,0.384027,0.097043,0.984428,0.540692,2
0.194143,0.905629,0.167045,0.60608,0.402466,0.875928,1
0.621662,0.534998,0.328744,0.910297,0.939327,0.680499,1
0.353994,0.806724,0.936947,0.747871,0.497995,0.601752,2
0.717184,0.864986,0.465551,0.304883,0.301405,0.588848,1
0.630554,0.408327,0.90757,0.992188,0.747701,0.723564,2
0.688257,0.7557,0.402695,0.172304,0.645736,0.775202,0
0.326973,0.161639,0.497696,0.513598,0.237801,0.231614,0
0.024603,0.943706,0.104829,0.462987,0.299314,0.260531,1
0.071101,0.210902,0.543756,0.511629,0.580774,0.942174,2
0.37031,0.015261,0.372992,0.716874,0.0795,0.534705,0
0.502323,0.630054,0.933907,0.596998,0.934116,0.439496,1
0.643832,0.561239,0.546295,0.0259,0.72939,0.92676,2
0.10086,0.149467,0.593042,0.435265,0.881973,0.304715,0
0.215434,0.449387,0.388304,0.227834,0.432483,0.933421,2
0.646506,0.834798,0.967801,0.926544,0.416938,0.65073,2
0.828949,0.055579,0.535361,0.6485,0.494506,0.68878,0
