a.0,a.1,a.2,b.0,b.1,b.2,y
0.047447,0.54217,0.619532,0.098019,0.428069,0.516202,1
0.634801,0.637355,0.36257,0.102471,0.149447,0.671891,2
0.821782,0.352959,0.77942,0.06701,0.487945,0.474707,2
0.980977,0.181688,0.209584,0.354624,0.155976,0.211545,0
0.550813,0.519658,0.432592,0.342466,0.452429,0.673787,2
0.049188,0.430438,0.841672,0.64213,0.394683,0.139724,2
0.756372,0.769839,0.023885,0.34587,0.195455,0.174324,0
0.526363,0.777902,0.650399,0.146799,0.372336,0.918272,2
0.648909,0.95813,0.719417,0.795437,0.957627,0.662348,0
0.264125,0.487939,0.276638,0.340865,0.419082,0.545233,0
0.732712,0.185146,0.537999,0.73303,0.408047,0.619352,0
0.289419,0.105692,0.379112,0.051928,0.102931,0.95011,2
0.656014,0.770359,0.342774,0.696849,0.061592,0.289409,0
0.655641,0.606212,0.337411,0.822958,0.830043,0.226387,0
0.573507,0.580791,0.682182,0.770094,0.811641,0.315752,0
0.663363,0.343171,0.254979,0.469606,0.586982,0.002084,1
0.461182,0.379602,0.323491,0.811619,0.041766,0.250703,0
0.465564,0.430076,0.365142,0.151402,0.478465,0.391946,2
0.473987,0.197549,0.99003,0.242893,0.214905,0.618774,2
0.960733,0.893683,0.059577,0.294323,0.303651,0.957048,1
0.553974,0.583637,0.855504,0.243641,0.626948,0.969622,2
0.973682,0.72446,0.05501,0.859622,0.615986,0.003944,0
0.046498,0.943019,0.188371,0.125286,0.73432,0.038764,1
0.34876,0.359334,0.624802,0.9555,0.606837,0.339783,0
0.3134,0.865292,0.148738,0.012387,0.355704,0.02412,1
0.209351,0.419247,0.060642,0.469637,0.876807,0.913185,1
0.04255,0.41532,0.56802,0.867154,0.675236,0.876737,2
0.462236,0.945534,0.983666,0.998949,0.783984,0.370309,1
0.820891,0.16724,0.259862,0.65641,0.140723,0.742019,0
0.150771,0.751575,0.169364,0.99583,0.208604,0.478189,0
0.506605,0.086982,0.025871,0.078039,0.002338,0.318665,2
0.154083,0.296267,0.118664,0.800153,0.938954,0.315204,1
0.713546,0.882764,0.942494,0.674703,0.77751,0.276104,1
0.399055,0.400685,0.996958,0.355661,0.160296,0.073864,0
0.133045,0.944765,0.013813,0.937491,0.296391,0.439641,0
0.390607,0.447819,0.362782,0.845423,0.118429,0.66226,2
0.001946,0.348701,0.095617,0.904084,0.727217,0.283849,1
0.560238,0.728481,0.062926,0.038996,0.804719,0.994005,1
0.411464,0.331877,0.397781,0.887196,0.131797,0.540671,0
0.003863,0.016874,0.905324,0.401874,0.939656,0.129013,1
0.685413,0.187054,0.529058,0.390169,0.322709,0.172062,0
0.1559,0.827211,0.232805,0.96186,0.392705,0.843024,2
0.888034,0.77731,0.07785,0.001668,0.778495,0.330632,1
0.418952,0.996721,0.56664,0.195848,0.092281,0.871733,2
0.083903,0.435059,0.889021,0.587162,0.491449,0.147436,1
0.399842,0.87346,0.304736,0.138768,0.411105,0.595681,1
0.503626,0.464116,0.178746,0.120297,0.729799,0.744896,1
0.974796,0.000258,0.977437,0.711531,0.046763,0.784599,2
0.571039,0.019427,0.532895,0.887577,0.565018,0.318567,0
0.813458,0.746592,0.658668,0.578439,0.890943,0.894722,1
0.384503,0.626044,0.423592,0.227505,0.167795,0.598884,2
0.524659,0.115049,0.069329,0.413316,0.357014,0.001807,0
0.443419,0.732037,0.557234,0.156145,0.571788,0.12617,1
0.203416,0.462932,0.913034,0.380013,0.732655,0.282925,1
0.633907,0.232657,0.320794,0.734641,0.174877,0.926051,0
0.48513,0.813371,0.020867,0.440006,0.044958,0.709624,1
0.227241,0.152407,0.449589,0.333233,0.521207,0.688508,2
0.798819,0.59768,0.96259,0.380763,0.79517,0.115328,0
0.974217,0.821253,0.371974,0.217205,0.562639,0.269862,1
0.741816,0.38374,0.080605,0.660304,0.849387,0.860724,1
0.075723,0.719704,0.197307,0.184073,0.571988,0.352894,1
0.92625,0.295857,0.338781,0.600784,0.525357,0.148019,0
0.858813,0.426988,0.490617,0.583761,0.118618,0.733306,0
0.081266,0.210548,0.318776,0.278906,0.517857,0.207218,1
0.811563,0.75846,0.130732,0.415131,0.458274,0.656592,0
0.401921,0.478981,0.44388,0.523564,0.211125,0.301589,0
0.451912,0.401175,0.778283,0.007628,0.45649,0.214503,1
0.244116,0.231733,0.407894,0.106441,0.10774,0.050894,2
0.348295,0.381257,0.876691,0.4086,0.916239,0.83871,2
0.372143,0.393551,0.829599,0.045217,0.552401,0.053468,1
0.680195,0.068657,0.379729,0.243239,0.936644,0.67376,1
0.14111,0.183924,0.883534,0.087317,0.867777,0.477431,1
0.354184,0.90423,0.972523,0.972758,0.358065,0.951266,2
