a.0,a.1,a.2,b.0,b.1,b.2,y
0.597621,0.532227,0.506319,0.90467,0.824559,0.899,0
0.315994,0.179697,0.363657,0.652898,0.614087,0.219931,0
0.198729,0.103011,0.815854,0.670279,0.168813,0.263946,2
0.371654,0.034306,0.052842,0.254426,0.980409,0.552274,2
0.342175,0.125575,0.398638,0.447055,0.04709,0.615953,2
0.464564,0.6036,0.504619,0.489471,0.282962,0.354021,2
0.126988,0.495632,0.083539,0.970887,0.359607,0.59474,1
0.951808,0.030135,0.2972,0.088481,0.765135,0.014518,0
0.989818,0.952125,0.016478,0.072204,0.713433,0.210747,1
0.313037,0.628251,0.596203,0.191286,0.62894,0.512252,2
0.815833,0.025666,0.728109,0.421889,0.498908,0.643898,2
0.014357,0.165244,0.307044,0.892084,0.543518,0.077394,1
0.792633,0.992716,0.626415,0.355167,0.484533,0.750063,2
0.799265,0.427131,0.116112,0.616766,0.079121,0.310803,0
0.656712,0.721665,0.757387,0.820082,0.903447,0.147584,0
0.493681,0.827633,0.72356,0.11298,0.437723,0.921952,2
0.924692,0.117351,0.705925,0.689201,0.062128,0.113386,0
0.495082,0.618991,0.442034,0.575359,0.405796,0.473571,0
0.204203,0.556338,0.80521,0.478042,0.954259,0.453823,1
0.288996,0.278153,0.182334,0.191159,0.534159,0.032704,1
0.025693,0.196293,0.034792,0.105076,0.048818,0.354701,0
0.673993,0.320904,0.908788,0.696967,0.350725,0.476233,2
0.091706,0.202188,0.905687,0.936681,0.225582,0.727353,2
0.565141,0.048666,0.834971,0.377911,0.750468,0.778472,2
0.065633,0.742554,0.353993,0.488565,0.697964,0.051595,1
0.46271,0.257758,0.169128,0.929989,0.90219,0.455106,0
0.041901,0.827749,0.134191,0.924906,0.985795,0.721569,1
0.117183,0.024459,0.458528,0.698727,0.997687,0.949305,1
0.749981,0.128672,0.446304,0.550811,0.224814,0.78516,0
0.987674,0.515773,0.169146,0.977985,0.20945,0.44795,0
0.49906,0.398848,0.953078,0.023904,0.164153,0.593345,2
0.512789,0.891017,0.486832,0.441202,0.007804,0.759995,2
0.785171,0.295028,0.328113,0.37346,0.409989,0.897498,2
0.7244,0.098131,0.881653,0.466142,0.248823,0.965268,2
0.904345,0.843077,0.847057,0.498219,0.278077,0.988251,2
0.493573,0.159466,0.600778,0.047431,0.509431,0.429881,2
0.825199,0.750704,0.219782,0.833817,0.791205,0.65196,0
0.616155,0.048123,0.293023,0.72664,0.920606,0.460712,0
0.9738,0.218669,0.875686,0.414994,0.380758,0.815561,0
0.330104,0.639727,0.838806,0.368516,0.794067,0.644663,1
0.82541,0.638255,0.2182,0.934986,0.747019,0.70288,0
0.366199,0.278089,0.745158,0.444945,0.805946,0.980169,2
0.624941,0.58829,0.292679,0.101258,0.062473,0.525158,0
0.962968,0.834336,0.324695,0.755005,0.823384,0.168057,1
0.301879,0.705136,0.596093,0.136663,0.606523,0.186834,1
0.76794,0.820461,0.98235,0.422064,0.52622,0.514377,2
0.639611,0.292601,0.991542,0.325354,0.602707,0.746904,2
0.469786,0.474152,0.676402,0.592845,0.619498,0.905048,2
0.451831,0.69459,0.53948,0.914658,0.032141,0.280838,0
0.639036,0.105841,0.974528,0.212407,0.901694,0.580789,1
0.504371,0.570833,0.092485,0.413192,0.09714,0.777187,0
0.402962,0.492102,0.269928,0.431096,0.520371,0.216253,2
0.059457,0.112213,0.816336,0.938485,0.766236,0.037467,2
0.291533,0.291199,0.97209,0.748269,0.761921,0.255481,2
0.109346,0.680782,0.140375,0.736584,0.997851,0.185075,2
0.005968,0.720087,0.876913,0.535796,0.08809,0.411762,1
0.292446,0.22086,0.746397,0.559311,0.556566,0.11498,0
0.786432,0.602962,0.802588,0.846796,0.083924,0.590138,1
0.436729,0.576591,0.610432,0.930694,0.435273,0.356273,1
0.683136,0.256863,0.57278,0.441872,0.340002,0.660988,1
0.916409,0.560101,0.080143,0.323815,0.347409,0.245078,1
0.474047,0.205843,0.833862,0.606209,0.023762,0.249909,0
0.674507,0.274594,0.735037,0.482467,0.531709,0.712269,2
0.401171,0.654081,0.991014,0.778,0.827988,0.042993,0
0.881235,0.787686,0.413362,0.445336,0.617272,0.920856,1
0.963588,0.349725,0.814307,0.652042,0.346241,0.887452,0
0.452975,0.783443,0.450977,0.426138,0.964771,0.754886,1
0.983238,0.017272,0.965836,0.406781,0.303075,0.974069,2
0.342234,0.93433,0.315471,0.652103,0.978287,0.496327,1
0.887701,0.084557,0.489711,0.687495,0.370504,0.7735,0
0.158374,0.345005,0.852389,0.341299,0.529075,0.461092,0
0.564492,0.772151,0.273111,0.811955,0.842606,0.572283,1
0.056572,0.430218,0.514747,0.891137,0.839564,0.692564,2
0.4275,0.698261,0.258988,0.014531,0.354387,0.246354,1
0.992873,0.847712,0.50127,0.011377,0.23044,0.655163,2
0.316922,0.891856,0.913716,0.071017,0.734287,0.2832,1
0.734512,0.601508,0.501773,0.719596,0.086423,0.476583,0
0.892603,0.764154,0.928354,0.294475,0.432395,0.77257,2
0.131531,0.417248,0.071379,0.134033,0.893927,0.138062,1
0.182578,0.717956,0.221136,0.258276,0.405897,0.01988,0
0.616699,0.134804,0.241861,0.479854,0.700782,0.345124,1
0.318011,0.8627,0.984493,0.36323,0.42347,0.509154,2
0.734996,0.702234,0.530656,0.759421,0.266637,0.216856,0
0.590658,0.102358,0.448096,0.495526,0.182803,0.739285,0
0.206607,0.471759,0.026067,0.16902,0.416656,0.614805,0
0.497338,0.724242,0.036011,0.824086,0.581339,0.001334,0
0.073316,0.921288,0.624083,0.94843,0.733474,0.303942,1
0.090363,0.422781,0.81991,0.46281,0.95795,0.052582,1
0.188559,0.22395,0.051366,0.615733,0.138998,0.364958,1
0.387556,0.590567,0.667606,0.304373,0.961507,0.454769,1
0.288041,0.661532,0.581877,0.420892,0.73977,0.209707,1
0.748368,0.346838,0.725327,0.147887,0.446868,0.367756,0
0.537534,0.163385,0.131982,0.643124,0.062482,0.56535,1
0.109397,0.367921,0.072395,0.69422,0.257941,0.07367,0
0.041874,0.246006,0.317912,0.606027,0.036377,0.530656,2
0.60175,0.220681,0.512311,0.256302,0.429208,0.855238,2
0.713117,0.320485,0.636557,0.41418,0.209565,0.80024,1
0.107308,0.059112,0.526012,0.372027,0.94267,0.843568,2
0.338227,0.773382,0.058057,0.407279,0.609116,0.565113,1
0.343625,0.044833,0.679616,0.331825,0.978336,0.860417,2
0.897237,0.087544,0.593216,0.042198,0.21792,0.443954,2
0.494966,0.746057,0.667749,0.181022,0.250708,0.167282,1
0.566745,0.58311,0.413038,0.870346,0.539399,0.375575,0
0.689421,0.668067,0.99885,0.274018,0.121461,0.144848,1
0.541522,0.208905,0.504861,0.516655,0.129473,0.867955,0
0.250212,0.408305,0.575732,0.410317,0.86385,0.301695,0
0.252825,0.673539,0.0287,0.178824,0.422068,0.495654,1
0.128273,0.296548,0.782815,0.04148,0.507314,0.298649,2
0.975557,0.727206,0.07443,0.896982,0.844279,0.850934,1
0.588645,0.171778,0.498245,0.136405,0.031864,0.110187,1
0.359103,0.74326,0.943563,0.649086,0.891933,0.471143,1
0.922087,0.551656,0.189763,0.259189,0.510144,0.75361,1
0.792903,0.429943,0.946896,0.413708,0.959875,0.539532,1
0.132043,0.923249,0.556941,0.796477,0.235455,0.855067,2
0.813107,0.52866,0.028166,0.205292,0.93807,0.564005,1
0.408882,0.580246,0.002885,0.312746,0.254773,0.911435,0
0.247124,0.316492,0.080621,0.157885,0.843475,0.802487,2
0.599468,0.719868,0.38323,0.91601,0.835229,0.242318,1
0.974044,0.4567,0.331181,0.579002,0.181908,0.009196,1
0.671798,0.154563,0.646626,0.289199,0.39714,0.843452,2
0.796643,0.794599,0.405981,0.845854,0.656316,0.054084,0
0.091398,0.072098,0.336923,0.938055,0.24295,0.247151,1
0.034971,0.355406,0.792019,0.949249,0.847507,0.940251,2
0.752508,0.095646,0.354847,0.934228,0.905456,0.749415,0
0.268744,0.804148,0.266719,0.831475,0.779831,0.670939,1
0.555881,0.759537,0.431458,0.513128,0.513102,0.34633,1
0.385038,0.43143,0.724317,0.468917,0.437799,0.011491,1
0.409908,0.010717,0.928549,0.063441,0.01993,0.070113,0
0.097452,0.576903,0.517567,0.976648,0.835044,0.747109,1
0.444743,0.085933,0.577131,0.664059,0.560849,0.633258,2
0.894576,0.401667,0.627659,0.376311,0.628024,0.281417,2
0.677042,0.503945,0.33865,0.410197,0.185017,0.14042,0
0.935497,0.09054,0.371209,0.067259,0.988781,0.975042,2
0.369981,0.97357,0.328008,0.702031,0.134332,0.127181,0
0.959556,0.863634,0.009407,0.042671,0.630418,0.074401,1
0.403879,0.641489,0.873446,0.357033,0.845249,0.648606,2
0.593292,0.172325,0.50336,0.595698,0.218889,0.868439,2
0.014475,0.735024,0.634731,0.308344,0.739304,0.504984,1
0.203329,0.995556,0.848542,0.159999,0.205123,0.568523,2
0.825749,0.809202,0.446172,0.958166,0.743266,0.171073,0
0.63805,0.119803,0.990957,0.002225,0.267147,0.902719,2
0.150184,0.269437,0.149185,0.016149,0.896302,0.821318,1
0.394036,0.90582,0.79354,0.662964,0.181125,0.732641,2
0.764343,0.809415,0.23291,0.302859,0.094001,0.446948,0
0.469485,0.458816,0.769218,0.446412,0.10226,0.303856,2
0.984645,0.83687,0.370975,0.44082,0.302178,0.001839,1
0.562273,0.896849,0.200558,0.398581,0.217286,0.326045,0
0.47813,0.224951,0.36907,0.7036,0.183653,0.198669,2
0.001047,0.564904,0.376296,0.067557,0.330898,0.176926,2
0.116113,0.652169,0.353413,0.49724,0.390234,0.616038,1
0.734626,0.488966,0.791924,0.138581,0.226576,0.274473,2
0.894312,0.097985,0.972037,0.888947,0.273074,0.869304,0
0.705382,0.225775,0.745608,0.783975,0.074024,0.272433,0
0.347216,0.882849,0.929938,0.21329,0.773386,0.38272,1
0.044794,0.822453,0.134112,0.632141,0.035919,0.782807,1
0.394461,0.361569,0.361413,0.385554,0.725657,0.724634,2
0.720621,0.734021,0.241265,0.704117,0.416701,0.996049,1
0.4244,0.435984,0.191806,0.64929,0.175726,0.45159,2
0.660851,0.152692,0.423396,0.991797,0.753326,0.305649,0
0.798997,0.498198,0.056372,0.866544,0.899104,0.209302,0
0.55861,0.760302,0.648228,0.377391,0.294731,0.635706,2
0.938974,0.564214,0.218918,0.16054,0.724784,0.657795,0
0.171931,0.556959,0.18373,0.691824,0.073364,0.754449,1
0.428021,0.620816,0.046726,0.192198,0.362605,0.512221,2
0.545487,0.092171,0.071644,0.629328,0.98828,0.570033,0
0.37686,0.592525,0.527919,0.033871,0.651644,0.760384,2
0.355354,0.3955,0.335079,0.636666,0.887441,0.473523,2
0.693052,0.985634,0.571206,0.9353,0.759079,0.566373,1
0.36445,0.267913,0.455624,0.28344,0.512577,0.602227,2
0.035332,0.538674,0.15677,0.503459,0.308739,0.708251,0
0.128986,0.0472,0.42084,0.636565,0.688783,0.543092,1
0.278296,0.336877,0.5621,0.484479,0.467903,0.092355,0
0.666971,0.749589,0.49951,0.480318,0.180829,0.751614,2
0.620478,0.366879,0.37593,0.331248,0.384919,0.07664,0
0.263721,0.636988,0.127997,0.669006,0.205358,0.221621,0
0.93057,0.173363,0.975677,0.576996,0.36261,0.665334,2
0.473488,0.076851,0.817838,0.097157,0.704982,0.187705,0
0.472466,0.573798,0.796703,0.306038,0.527613,0.755001,0
0.11228,0.179177,0.101258,0.527493,0.894765,0.715285,2
0.083913,0.100916,0.402824,0.457616,0.568659,0.159443,2
0.42097,0.667079,0.379933,0.034736,0.690546,0.851883,1
0.935776,0.449057,0.721078,0.672029,0.505347,0.332251,1
0.301288,0.341031,0.005604,0.860466,0.779283,0.998187,1
0.308236,0.769311,0.814522,0.750139,0.534559,0.797257,2
0.047031,0.93723,0.955417,0.045368,0.571193,0.185718,1
0.996984,0.110994,0.164945,0.431806,0.035849,0.479001,0
0.075179,0.442273,0.296818,0.155758,0.685739,0.655152,2
0.689762,0.698236,0.167744,0.648424,0.034179,0.050411,2
0.963563,0.669268,0.612515,0.25564,0.130822,0.528335,2
0.785623,0.542481,0.844014,0.873217,0.446091,0.982622,2
0.836237,0.42168,0.640367,0.687027,0.068563,0.901996,0
0.142226,0.359265,0.87576,0.880699,0.323564,0.807456,2
0.205775,0.849321,0.460338,0.899289,0.475803,0.011875,0
0.677471,0.975801,0.922243,0.827738,0.369854,0.018432,1
0.965439,0.308719,0.589322,0.43348,0.155574,0.302044,2
0.785219,0.704219,0.40369,0.257306,0.325927,0.162666,0
0.338143,0.219751,0.511863,0.24562,0.238007,0.769175,1
0.438453,0.164757,0.508656,0.19761,0.905515,0.705426,2
0.836252,0.848731,0.705154,0.656912,0.182929,0.429125,2
0.452022,0.978948,0.549727,0.196395,0.793281,0.276992,1
0.779593,0.393867,0.705767,0.632134,0.29109,0.326885,0
0.417456,0.233793,0.590494,0.267637,0.103059,0.572646,2
0.703655,0.377082,0.182926,0.54182,0.373151,0.328907,0
0.916663,0.16909,0.457124,0.478658,0.776685,0.278363,0
0.390647,0.886476,0.674613,0.383436,0.386308,0.812885,2
0.468678,0.664417,0.60546,0.942066,0.545348,0.823264,0
0.742103,0.30132,0.615802,0.535661,0.785811,0.569038,2
0.256608,0.756187,0.71255,0.972181,0.779015,0.608672,1
0.428588,0.057648,0.268169,0.220322,0.59059,0.466841,2
0.616775,0.860983,0.21931,0.284927,0.398802,0.560423,0
0.113122,0.497448,0.03396,0.384589,0.188034,0.960845,1
0.048878,0.503466,0.101982,0.861642,0.22046,0.061253,1
0.611027,0.670309,0.303151,0.563334,0.841897,0.796869,1
0.879798,0.996286,0.609545,0.989354,0.6644,0.736432,0
0.915758,0.768668,0.691787,0.211544,0.456631,0.775129,0
0.825522,0.394032,0.991622,0.737917,0.968679,0.616421,1
0.812283,0.048871,0.593632,0.728229,0.001112,0.005846,0
0.756919,0.725265,0.801024,0.799139,0.529844,0.532443,0
0.414317,0.9999,0.722015,0.621111,0.667423,0.740008,2
0.579094,0.628094,0.085455,0.749437,0.491156,0.662887,0
0.923667,0.720422,0.485194,0.540475,0.475133,0.045976,0
0.576379,0.163533,0.352079,0.585552,0.459823,0.005883,2
0.639396,0.787753,0.455128,0.46874,0.810502,0.755816,2
0.69545,0.976566,0.187043,0.851498,0.404856,0.089779,0
0.310601,0.815071,0.132713,0.105593,0.087208,0.50562,0
0.017959,0.027761,0.272791,0.628266,0.757596,0.33562,0
0.376229,0.833192,0.414582,0.708552,0.468972,0.16111,1
0.507422,0.059232,0.947659,0.620018,0.93579,0.304591,0
0.977959,0.13458,0.127954,0.769499,0.907448,0.666763,0
0.068603,0.130853,0.500998,0.163173,0.071842,0.307866,2
0.066343,0.987668,0.281982,0.656064,0.233232,0.51877,1
0.728205,0.306757,0.899045,0.808317,0.546588,0.235592,0
0.854437,0.887114,0.561958,0.519598,0.535428,0.865187,2
0.199931,0.271989,0.150157,0.062122,0.921234,0.005492,2
0.190694,0.988252,0.372708,0.78509,0.555314,0.76353,2
0.375752,0.721645,0.08645,0.397389,0.80018,0.911624,1
0.551984,0.808979,0.56971,0.574102,0.277599,0.044115,0
0.849624,0.616512,0.608384,0.845625,0.431917,0.528667,0
0.481667,0.529354,0.097069,0.314404,0.43093,0.602457,0
0.487233,0.243738,0.291661,0.20919,0.082646,0.821677,2
0.67783,0.696099,0.169874,0.717193,0.915645,0.294778,0
0.263268,0.993826,0.312029,0.530376,0.417104,0.464416,1
0.033748,0.206735,0.392992,0.747415,0.560615,0.107646,0
